inference_id,key,role,coordinates,row,column,covariance
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,2,3,-1.8999528791835303e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,2,4,-6.1601925518934413e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,2,5,1.4302260340089636e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,3,0,-6.2430031270657007e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,3,1,-3.3476362947743017e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,3,2,-1.89995287918353e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,3,3,9.2974038904691773e-05
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,3,4,2.0783545068949234e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,3,5,1.9424440753209672e-06
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,4,0,9.9026079445765685e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,4,1,-8.0592572130239238e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,4,2,-6.1601925518934413e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,4,3,2.0783545068949226e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,4,4,9.3777456812554452e-05
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,4,5,8.4749281143628148e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,5,0,3.3115445012665203e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,5,1,2.0573321848753848e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,5,2,1.4302260340089639e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,5,3,1.9424440753209668e-06
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,5,4,8.4749281143628148e-07
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x0,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,5,5,9.833115662981577e-05
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x1,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,0,9.9997120567736972e-05
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x1,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,1,-4.8117730723772729e-09
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x1,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,2,7.179501706804623e-09
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x1,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,3,-6.9645771880009015e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x1,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,4,9.2688748670786861e-08
t08inference-sha256:9ff7b14bdc754b42567408357c1e79fedb09721e34459e7a0f58cf193ed022ce,x1,TRAJECTORY_POSE,GTSAM_POSE3_LOCAL_RX_RY_RZ_TX_TY_TZ,0,5,3.4188576486564775e-08
