seed,scenario,condition,policy,status,valid_estimate,decision_use_count,final_use_count,historical_rmse_m,historical_p95_m,historical_matches,full_rmse_m,full_p95_m,delta_rmse_vs_suppress_m,delta_p95_vs_suppress_m,decision_accepted_bias_rmse_m,final_accepted_bias_rmse_m,decision_bad_correction_rate,final_bad_correction_rate,candidate_use_coverage,fallback_attempted,algorithm_failure
20101,step2,C,structured_debias,OK,True,16,16,0.014449711041634028,0.023833972520834187,8,0.032253793190470934,0.058194597243605345,0.001185068121177484,0.0017397969401341667,0.007312236100565783,0.007312235941651382,0.0,0.0,1.0,False,
20101,step2,C,fit_only,OK,True,16,16,0.014449711041634028,0.023833972520834187,8,0.032253793190470934,0.058194597243605345,0.001185068121177484,0.0017397969401341667,0.007312236100565783,0.007312235941651382,0.0,0.0,1.0,False,
20101,step2,C,s_fit,OK,True,16,16,0.014449711041634028,0.023833972520834187,8,0.032253793190470934,0.058194597243605345,0.001185068121177484,0.0017397969401341667,0.007312236100565783,0.007312235941651382,0.0,0.0,1.0,False,
20101,step2,C,full_gate,OK,True,16,16,0.014449711041634028,0.023833972520834187,8,0.032253793190470934,0.058194597243605345,0.001185068121177484,0.0017397969401341667,0.007312236100565783,0.007312235941651382,0.0,0.0,1.0,False,
20102,step2,A,suppress_all,ZERO_ACCEPTED,True,0,0,0.019090101173200306,0.024270043436686373,16,0.026379989181677856,0.04394880891120262,0.0,0.0,,,,,0.0,False,
20102,step2,A,structured_debias,OK,True,32,32,0.019410105901552788,0.025679920597019415,16,0.026762750117317505,0.044054153321144394,0.0003200047283524812,0.0014098771603330423,0.007265453202622867,0.007265452884680149,0.0,0.0,1.0,False,
20102,step2,A,fit_only,ZERO_ACCEPTED,True,0,0,0.019090101173200306,0.024270043436686373,16,0.026379989181677856,0.04394880891120262,0.0,0.0,,,,,0.0,False,
20102,step2,A,s_fit,ZERO_ACCEPTED,True,0,0,0.019090101173200306,0.024270043436686373,16,0.026379989181677856,0.04394880891120262,0.0,0.0,,,,,0.0,False,
20102,step2,A,full_gate,ZERO_ACCEPTED,True,0,0,0.019090101173200306,0.024270043436686373,16,0.026379989181677856,0.04394880891120262,0.0,0.0,,,,,0.0,False,
20102,step2,B,suppress_all,ZERO_ACCEPTED,True,0,0,0.03640135147775469,0.04793523653546196,16,0.05428844450209791,0.09397698164898532,0.0,0.0,,,,,0.0,False,
20102,step2,B,structured_debias,OK,True,32,32,0.03702340760152348,0.04971840576298685,16,0.05494361839358871,0.09476072383743596,0.0006220561237687897,0.001783169227524889,0.014993009305009831,0.01499300836863042,0.0,0.0,1.0,False,
20102,step2,B,fit_only,ZERO_ACCEPTED,True,0,0,0.03640135147775469,0.04793523653546196,16,0.05428844450209791,0.09397698164898532,0.0,0.0,,,,,0.0,False,
20102,step2,B,s_fit,ZERO_ACCEPTED,True,0,0,0.03640135147775469,0.04793523653546196,16,0.05428844450209791,0.09397698164898532,0.0,0.0,,,,,0.0,False,
20102,step2,B,full_gate,ZERO_ACCEPTED,True,0,0,0.03640135147775469,0.04793523653546196,16,0.05428844450209791,0.09397698164898532,0.0,0.0,,,,,0.0,False,
20102,step2,C,suppress_all,ZERO_ACCEPTED,True,0,0,0.015643587813360577,0.020290549488313922,8,0.026498784234549766,0.04450076631282078,0.0,0.0,,,,,0.0,False,
20102,step2,C,structured_debias,OK,True,16,16,0.015013711534657866,0.02100459873168372,8,0.02647733674194493,0.04419666706054983,-0.0006298762787027117,0.0007140492433697979,0.020935882445208612,0.02093588224085746,0.0,0.0,1.0,False,
20102,step2,C,fit_only,OK,True,16,16,0.015013711534657866,0.02100459873168372,8,0.02647733674194493,0.04419666706054983,-0.0006298762787027117,0.0007140492433697979,0.020935882445208612,0.02093588224085746,0.0,0.0,1.0,False,
20102,step2,C,s_fit,OK,True,16,16,0.015013711534657866,0.02100459873168372,8,0.02647733674194493,0.04419666706054983,-0.0006298762787027117,0.0007140492433697979,0.020935882445208612,0.02093588224085746,0.0,0.0,1.0,False,
