chain_index,iteration,objective,primal_residual_m,primal_threshold_m,dual_residual_objective_per_m,dual_threshold_objective_per_m,max_kkt_violation_objective_per_m,max_tv_subgradient_violation_objective_per_m,rho_objective_per_m2
0,21,0.077626067615669814,5.1871312155270314e-07,3.9614419265932702e-07,4.2878051834359848e-05,4.4636263469497005e-07,2.1952020982119314e-05,0.17783012840643253,19.557303067114255
0,22,0.077626016783668178,2.3644941537938402e-07,3.9614419217252384e-07,3.4129421110502261e-05,4.4636227444167032e-07,1.7371370801319716e-05,0.13474867867654977,19.557303067114255
0,23,0.077625990076839291,9.1136820577789628e-08,3.9614418621028074e-07,2.6497885661292457e-05,4.4636289728832489e-07,1.3625337642189805e-05,0.1347479765489733,19.557303067114255
0,24,0.077625994599171716,1.0576248059248254e-07,3.9614417712460671e-07,2.0310816344157532e-05,4.4636373734917809e-07,1.0585281179862042e-05,0.13221723493974813,19.557303067114255
0,25,0.077625998651313005,1.1932059851210088e-07,3.9614416719690041e-07,1.5613187444469507e-05,4.463643943884403e-07,8.2811384837913585e-06,0.13221571622943756,19.557303067114255
0,26,0.077625997007116601,1.0283683164232114e-07,3.9614415807022776e-07,1.2131582666004474e-05,4.4636474252777101e-07,6.5234212500716631e-06,0.13221432665655244,19.557303067114255
0,27,0.077625993007970434,7.3464564140385887e-08,3.9614415061354569e-07,9.502745305175772e-06,4.4636481449433184e-07,5.0873316898947256e-06,0.13221330197872444,19.557303067114255
0,28,0.077625988839801499,4.5124749885356144e-08,3.9614414505005758e-07,7.4543496023523785e-06,4.463647060044797e-07,3.9553672136328486e-06,0.13221267157379407,19.557303067114255
0,29,0.077625985591160046,2.5212283083061942e-08,3.9614414118895567e-07,5.834937430834919e-06,4.4636451523214272e-07,3.085154910014587e-06,0.13221235766193293,19.557303067114255
0,30,0.077625984361826855,1.5726179249413658e-08,3.9614413865006928e-07,4.5620584237066317e-06,4.4636431455882921e-07,2.4246020782723687e-06,0.17783588273176876,19.557303067114255
0,31,0.077625984223487876,1.271469764494791e-08,3.961441370273459e-07,3.5736452742247946e-06,4.4636414456477137e-07,1.9232523896044663e-06,0.17783583342868808,19.557303067114255
0,32,0.077625984251730715,1.0609640634517789e-08,3.9614413598011661e-07,2.810170974761288e-06,4.4636401973661183e-07,1.5386453474768921e-06,0.17783580053345122,19.557303067114255
0,33,0.077625983878971433,7.9929501593705094e-09,3.9614413526538158e-07,2.2172825271239736e-06,4.4636393801232923e-07,1.2384290758858876e-06,0.17783578885200624,19.557303067114255
0,34,0.077625983471826782,5.4573083442018348e-09,3.9614413473273291e-07,1.7519700717811627e-06,4.4636388958327701e-07,9.9970451721188753e-07,0.13475200870157444,19.557303067114255
0,35,0.077625983270462093,3.6762295920711302e-09,3.9614413430195921e-07,1.3838105533688204e-06,4.4636386306670296e-07,8.0704314014142016e-07,0.13475197794622631,19.557303067114255
